292,2341,101,123
1882,2261,103,80
1549,2075,64,104
248,1972,79,143
2202,1955,95,63
1147,1953,97,57
335,1949,120,136
518,1944,88,104
315,1854,109,105
2678,1831,110,142
119,1800,114,135
623,1688,123,76
1075,1608,74,97
1556,1537,94,71
781,1477,70,101
1813,1472,87,88
906,1432,101,56
3138,1428,46,349
355,1408,74,120
3186,1378,33,268
1,1315,29,243
2693,1294,129,104
259,1281,90,99
3151,1152,31,171
803,1138,108,95
890,1054,111,80
1251,1005,88,90
986,989,83,101
581,956,79,103
3188,817,22,197
2420,699,91,94
364,695,97,85
3147,675,40,247
1594,523,54,90
2749,507,111,111
563,505,119,85
1001,372,105,75
815,254,86,88
577,43,126,84
278,0,89,132
0,0,89,149
744,1971,98,51
783,1865,49,98
2500,936,132,98
821,880,127,112
387,386,123,112
457,293,92,109
